fields_cust_id,feature_id,user_id,fields_value,lang_id,created_at,updated_at
300,212,18196,Canon 30D,3,2019-05-13 15:30:16.0,2019-05-13 15:30:16.0
301,213,18196,Canon 30D,3,2019-05-13 15:31:11.0,2019-05-13 15:31:11.0
302,213,18196,Impresora canon,3,2019-05-13 15:31:49.0,2019-05-13 15:31:49.0
303,56,18241,Vidas,3,2019-05-15 17:52:46.0,2019-05-15 17:52:46.0
304,56,18272,"Balada, pop, música urbana",3,2019-05-17 03:03:30.0,2019-05-17 03:03:30.0
305,56,18309,Trapeton,3,2019-05-18 17:00:32.0,2019-05-18 17:00:32.0
306,56,18309,Música urbana en general,3,2019-05-18 17:00:49.0,2019-05-18 17:00:49.0
307,56,18352,Variados,3,2019-05-20 16:06:42.0,2019-05-20 16:06:42.0
310,597,18507,Ilustreitor,3,2019-05-28 00:35:23.0,2019-05-28 00:35:23.0
311,56,18507,"Balada, bachata, regueton,",3,2019-05-28 00:36:26.0,2019-05-28 00:36:26.0
313,56,18512,Regueton,3,2019-05-28 14:25:08.0,2019-05-28 14:25:08.0
315,523,18520,Arquería,3,2019-05-28 19:40:58.0,2019-05-28 19:40:58.0
316,523,18520,Arco y flecha,3,2019-05-28 19:47:17.0,2019-05-28 19:47:17.0
317,375,18528,Underground Battles,1,2019-05-29 03:54:12.0,2019-05-29 03:54:12.0
318,152,18531,Cubase,3,2019-05-29 12:17:07.0,2019-05-29 12:17:07.0
319,56,18531,Romantic,3,2019-05-29 12:17:34.0,2019-05-29 12:17:34.0
321,56,18552,Kpop,3,2019-05-30 03:26:37.0,2019-05-30 03:26:37.0
323,56,18583,Genero Urbano,3,2019-05-31 21:58:27.0,2019-05-31 21:58:27.0
324,56,18666,trap,3,2019-06-04 17:38:29.0,2019-06-04 17:38:29.0
325,56,18666,dancehall,3,2019-06-04 17:38:49.0,2019-06-04 17:38:49.0
326,56,18666,DEMBOW,3,2019-06-04 17:39:14.0,2019-06-04 17:39:14.0
327,56,18666,TRAPBOW,3,2019-06-04 17:39:20.0,2019-06-04 17:39:20.0
328,56,18666,reggaeton,3,2019-06-04 17:39:29.0,2019-06-04 17:39:29.0
329,56,18666,reggae,3,2019-06-04 17:39:34.0,2019-06-04 17:39:34.0
330,56,18711,worship,3,2019-06-07 03:02:56.0,2019-06-07 03:02:56.0
331,56,18742,No,3,2019-06-09 02:17:06.0,2019-06-09 02:17:06.0
