skills_id,skills_key,linked_type,title,level,order_no,status,user_id,lifework_id,is_custom,created_at,updated_at
14,2f61974e73ea4ccec0e2f15179314ba1,3,"{""en"": ""Hair colorist"", ""es"": ""Colorista de pelo""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",524,1,0,0,0,2017-11-14 16:28:38.0,2018-09-27 16:41:28.0
15,7b8fca239fb264f51e98fa93b86ee793,3,"{""en"": ""Makeup artist"", ""es"": ""Maquillista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",525,1,0,0,0,2017-11-14 16:28:59.0,2018-09-27 16:41:28.0
16,8ba5d1a1f46e690a9a7627eff3184b14,3,"{""en"": ""Manicurist/Pedicurist"", ""es"": ""Manicurista/Pedicurista""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",526,1,0,0,0,2017-11-14 16:31:05.0,2018-09-27 16:41:28.0
17,b358878357e8eb29586cd43539cdf570,3,"{""en"": ""Telephone"", ""es"": ""Teléfonos""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",527,0,0,0,0,2017-11-14 16:33:00.0,2018-09-27 16:41:28.0
18,f065dd950b7baac990b931eeacd63fad,3,"{""en"": ""Housekeeper"", ""es"": ""Ama de llaves""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",528,1,0,0,0,2017-11-14 16:33:26.0,2018-09-27 16:41:28.0
19,42fd4acce23a632a61069c38ab94dc9e,3,"{""en"": ""Hair removal"", ""es"": ""Técnico de depilación""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",529,1,0,0,0,2017-11-14 16:36:20.0,2018-09-27 16:41:28.0
20,283e415861c34035e721088cdab07e4d,3,"{""en"": ""Fashion designer"", ""es"": ""Diseñador de moda""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",530,1,0,0,0,2017-11-14 16:37:50.0,2018-09-27 16:41:28.0
21,68917b38a0e403b800d5e2a821291bc4,3,"{""en"": ""Jewelry designer"", ""es"": ""Diseñador de joyas""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",531,1,0,0,0,2017-11-14 16:38:15.0,2018-09-27 16:41:28.0
22,5842bb8d8a8e5f4a670dae6a3576cf24,3,"{""en"": ""Dressmaker / seamstress"", ""es"": ""Modista / costurera""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",532,1,0,0,0,2017-11-14 16:38:50.0,2018-09-27 16:41:28.0
23,0213e6a0f991ee3e6ed0268947a43c4e,3,"{""en"": ""Fashion adviser"", ""es"": ""Asesor de moda""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",533,1,0,0,0,2017-11-14 16:40:17.0,2018-12-26 15:14:49.0
24,a25d0dcd9d892fc99a59cd054a4860b3,3,"{""en"": ""Security Agent"", ""es"": ""Agente de Seguridad""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8+ años)""}}",534,1,0,0,0,2017-11-14 16:43:11.0,2018-09-27 16:41:28.0
25,0b22ac3bdf368e9e2448c8bddfe40353,3,"{""en"": ""Catalog stylist"", ""es"": ""Estilista de catálogo""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginnger (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante"", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",535,1,0,0,0,2017-11-14 16:43:48.0,2018-09-27 16:41:28.0
26,ecd5d7ba241fe7b2311f62d823699266,3,"{""en"": ""Visual stylist"", ""es"": ""Estilista visual""}","{""en"": {""1"": ""Aspirant"", ""2"": ""Beginner (1 to 2 yrs)"", ""3"": ""Intermediate (3 to 5 yrs)"", ""4"": ""Expert (5 to 8 yrs)"", ""5"": ""Professional (8+ yrs)""}, ""es"": {""1"": ""Aspirante "", ""2"": ""Principiante (1 a 2 años)"", ""3"": ""Intermedio (3 a 5 años)"", ""4"": ""Experto  (5 a 8 años)"", ""5"": ""Profesional (8 + años)""}}",536,1,0,0,0,2017-11-14 16:44:13.0,2018-09-27 16:41:28.0
